Date,regime,holding,strategy_return,qqq_return,tqqq_return,year_month
2013-08-16,TQQQ,QQQ,4.464375829961378,-0.0003978671551339252,-0.0035618750895269856,2013-08
2013-08-19,Calm,TQQQ,-4.471895159741785,-0.0017236412547831268,-0.003957454690880334,2013-08
2013-08-20,TQQQ,QQQ,4.474541531693409,0.004370013206406247,0.013595423884352956,2013-08
2013-08-21,QQQ,QQQ,-0.003441348459330517,-0.003441348459330517,-0.010019602751460688,2013-08
2013-08-22,Calm,TQQQ,-4.439371583665321,0.009763924497635109,0.0281527784358648,2013-08
2013-08-23,TQQQ,QQQ,4.455809434594116,0.006673926431159874,0.02084895126856827,2013-08
2013-08-26,Calm,TQQQ,-4.434111212742545,0.0005210844472567084,0.0008492705830030388,2013-08
2013-08-27,TQQQ,QQQ,4.413953517076391,-0.020678780113410393,-0.06500727270098737,2013-08
2013-08-28,QQQ,QQQ,0.0038521045249161464,0.0038521045249161464,0.012859353708343227,2013-08
2013-08-29,Calm,TQQQ,-4.449467416986848,0.007002327698241686,0.020486123607103158,2013-08
2013-08-30,TQQQ,QQQ,4.449997625493787,-0.006472119191302278,-0.01882698458617455,2013-08
2013-09-03,Calm,TQQQ,-4.452504953034819,0.005681277503848731,0.0163196570451424,2013-09
2013-09-04,TQQQ,QQQ,4.468801420116375,0.010615189577706232,0.032106249902819795,2013-09
2013-09-05,QQQ,QQQ,0.0016936595228384114,0.0016936595228384114,0.00436533817646996,2013-09
2013-09-06,Calm,TQQQ,-4.430400234354559,0.0011703735876255725,0.003623257205363627,2013-09
2013-09-09,Calm,TQQQ,0.03459540506863905,0.011631182294866595,0.03459540506863905,2013-09
2013-09-10,TQQQ,QQQ,4.413477130567681,0.004870745399269141,0.015026176314847439,2013-09
2013-09-11,QQQ,QQQ,-0.0019199577956753406,-0.0019199577956753406,-0.0050599963980472095,2013-09
2013-09-12,Calm,TQQQ,-4.406098213489539,-0.000640805970557257,-0.004507220634332767,2013-09
2013-09-13,TQQQ,QQQ,4.406098213489539,0.0006408059705572397,0.003238003492634492,2013-09
2013-09-16,Calm,TQQQ,-4.41132364866352,-0.002693823115193276,-0.008463438666615107,2013-09
2013-09-17,TQQQ,QQQ,4.415287398645146,0.006657573096819966,0.019827242220942325,2013-09
2013-09-18,QQQ,QQQ,0.011922781116113985,0.011922781116113985,0.036094717444402284,2013-09
2013-09-19,Calm,TQQQ,-4.365141949940484,0.0023928376015384663,0.0061462701554314885,2013-09
2013-09-20,TQQQ,QQQ,4.364097315148481,-0.0034374723935414217,-0.011001613372533536,2013-09
2013-09-23,Calm,TQQQ,-4.380757684404355,-0.00202796602286382,-0.005658755883340603,2013-09
2013-09-24,TQQQ,QQQ,4.378729718381491,0.0,0.00022204101469788838,2013-09
2013-09-25,QQQ,QQQ,-0.0034311303336181146,-0.0034311303336181146,-0.00949972052581208,2013-09
2013-09-26,Calm,TQQQ,-4.361926249349773,0.007735200541724456,0.022650018209214223,2013-09
2013-09-27,TQQQ,QQQ,4.368397362167265,-0.0012640877242327078,-0.0047316322350739685,2013-09
2013-09-30,Calm,TQQQ,-4.379435608777604,-0.0024056008497247102,-0.006306614375265128,2013-09
2013-10-01,TQQQ,QQQ,4.387120789464952,0.010090781537072747,0.029529716238835175,2013-10
2013-10-02,QQQ,QQQ,-0.00037633563488237686,-0.00037633563488237686,-0.0018339131484175343,2013-10
2013-10-03,Calm,TQQQ,-4.394433356830614,-0.01174470755298413,-0.035384706090961913,2013-10
2013-10-04,TQQQ,QQQ,4.391289866518121,0.008601217240491326,0.025401335389653973,2013-10
2013-10-07,Calm,TQQQ,-4.390953830667386,-0.008347489991210995,-0.025065299538918766,2013-10
2013-10-08,TQQQ,QQQ,4.363113530886816,-0.019492809789358856,-0.05824515756122082,2013-10
2013-10-09,QQQ,QQQ,-0.003112269148886973,-0.003112269148886973,-0.011083477137359162,2013-10
2013-10-10,Calm,TQQQ,-4.367747331297761,0.020952769918187227,0.061582565138747915,2013-10
2013-10-11,TQQQ,QQQ,4.396555830197136,0.007855728981188316,0.022287235538082997,2013-10
2013-10-14,Calm,TQQQ,-4.353761090397078,0.007043287098207584,0.02050750426197586,2013-10
2013-10-15,TQQQ,QQQ,4.356912271616415,-0.00389210587887044,-0.01074703325549297,2013-10
2013-10-16,QQQ,QQQ,0.011259399329115292,0.011259399329115292,0.033588603581082066,2013-10
2013-10-17,Calm,TQQQ,-4.3293125393733165,0.005706959820033916,0.01601756124662468,2013-10
2013-10-18,TQQQ,QQQ,4.3510938401171115,0.01607434092376137,0.04825058415054503,2013-10
2013-10-21,Calm,TQQQ,-4.297119773816498,0.0021887500511898928,0.005723482150068957,2013-10
2013-10-22,TQQQ,QQQ,4.3007648973282055,0.001456373460518168,0.003438413900136468,2013-10
2013-10-23,QQQ,QQQ,-0.006082608468555836,-0.006082608468555836,-0.016213068421794354,2013-10
2013-10-24,Calm,TQQQ,-4.295076209710457,0.004383470423013927,0.01238073367085141,2013-10
